[2026-04-13T08:05:20.408Z] GET http://localhost:3000/host/ → 200 (10ms, 7820B)
[2026-04-13T08:05:20.432Z] GET http://localhost:3000/shared/narrator.js → 200 (13ms, 10357B)
[2026-04-13T08:05:20.432Z] GET http://localhost:3000/shared/sound.js → 200 (14ms, 9091B)
[2026-04-13T08:05:20.432Z] GET http://localhost:3000/shared/transitions.js → 200 (16ms, 1940B)
[2026-04-13T08:05:20.433Z] GET http://localhost:3000/shared/tournament.js → 200 (15ms, 6808B)
[2026-04-13T08:05:20.433Z] GET http://localhost:3000/host/main.js → 200 (16ms, 6754B)
[2026-04-13T08:05:20.966Z] GET http://localhost:3000/host-hill/ → pending (?ms, ?B)
[2026-04-13T08:05:20.978Z] GET http://localhost:3000/host-hill/ → 200 (7ms, 4314B)
[2026-04-13T08:05:21.002Z] GET http://localhost:3000/shared/characters.js → 200 (21ms, 15130B)
[2026-04-13T08:05:21.007Z] GET http://localhost:3000/shared/narrator.js → 200 (22ms, 10357B)
[2026-04-13T08:05:21.008Z] GET http://localhost:3000/shared/sound.js → 200 (18ms, 9091B)
[2026-04-13T08:05:21.008Z] GET http://localhost:3000/shared/hud.js → 200 (16ms, 5293B)
[2026-04-13T08:05:21.008Z] GET http://localhost:3000/shared/effects.js → 200 (22ms, 9474B)
[2026-04-13T08:05:21.008Z] GET http://localhost:3000/shared/transitions.js → 200 (23ms, 1940B)
[2026-04-13T08:05:21.009Z] GET http://localhost:3000/shared/tournament.js → 200 (25ms, 6808B)
[2026-04-13T08:05:21.009Z] GET http://localhost:3000/host-hill/render2d.js → 200 (24ms, 7736B)
[2026-04-13T08:05:21.009Z] GET http://localhost:3000/host-hill/main.js → 200 (25ms, 8201B)
[2026-04-13T08:05:21.953Z] GET http://localhost:3000/controller/ → 200 (4ms, 7375B)
[2026-04-13T08:05:21.983Z] GET http://localhost:3000/shared/sound.js → 200 (?ms, 9091B)
[2026-04-13T08:05:21.983Z] GET http://localhost:3000/controller/main.js → 200 (2ms, 19384B)
[2026-04-13T08:05:23.031Z] GET http://localhost:3000/host-escape/ → 200 (4ms, 4426B)
[2026-04-13T08:05:23.048Z] GET http://localhost:3000/shared/characters.js → 200 (33ms, 15130B)
[2026-04-13T08:05:23.048Z] GET http://localhost:3000/shared/narrator.js → 200 (35ms, 10357B)
[2026-04-13T08:05:23.048Z] GET http://localhost:3000/shared/sound.js → 200 (24ms, 9091B)
[2026-04-13T08:05:23.049Z] GET http://localhost:3000/shared/hud.js → 200 (33ms, 5293B)
[2026-04-13T08:05:23.051Z] GET http://localhost:3000/shared/effects.js → 200 (32ms, 9474B)
[2026-04-13T08:05:23.051Z] GET http://localhost:3000/shared/transitions.js → 200 (33ms, 1940B)
[2026-04-13T08:05:23.051Z] GET http://localhost:3000/shared/tournament.js → 200 (33ms, 6808B)
[2026-04-13T08:05:23.051Z] GET http://localhost:3000/host-escape/render2d.js → 200 (32ms, 16641B)
[2026-04-13T08:05:23.051Z] GET http://localhost:3000/host-escape/main.js → 200 (33ms, 8723B)
[2026-04-13T08:05:23.188Z] GET http://localhost:3000/host-hill/ → pending (?ms, ?B)
[2026-04-13T08:05:23.190Z] GET http://localhost:3000/host-hill/ → 200 (6ms, 4314B)
[2026-04-13T08:05:23.229Z] GET http://localhost:3000/shared/characters.js → 200 (16ms, 15130B)
[2026-04-13T08:05:23.229Z] GET http://localhost:3000/shared/narrator.js → 200 (17ms, 10357B)
[2026-04-13T08:05:23.229Z] GET http://localhost:3000/shared/sound.js → 200 (18ms, 9091B)
[2026-04-13T08:05:23.229Z] GET http://localhost:3000/shared/hud.js → 200 (22ms, 5293B)
[2026-04-13T08:05:23.230Z] GET http://localhost:3000/shared/effects.js → 200 (22ms, 9474B)
[2026-04-13T08:05:23.236Z] GET http://localhost:3000/shared/transitions.js → 200 (17ms, 1940B)
